addition,100000,21407
addition,100000,27285
addition,100000,26034
addition,100000,12030
addition,100000,9434
addition,100000,9364
addition,100000,9568
addition,100000,9485
addition,100000,9754
addition,100000,9545
substraction,100000,26058
substraction,100000,25679
substraction,100000,22126
substraction,100000,9539
substraction,100000,9492
substraction,100000,9510
substraction,100000,9539
substraction,100000,9667
substraction,100000,9585
substraction,100000,10586
multiplication,100000,10380
multiplication,100000,10003
multiplication,100000,10279
multiplication,100000,10357
multiplication,100000,12998
multiplication,100000,9492
multiplication,100000,9474
multiplication,100000,9322
multiplication,100000,9416
multiplication,100000,9389
division,100000,23903
division,100000,26774
division,100000,20537
division,100000,9685
division,100000,9694
division,100000,9677
division,100000,9673
division,100000,9676
division,100000,9651
division,100000,9487
smaller than,100000,8374
smaller than,100000,8345
smaller than,100000,8380
smaller than,100000,8329
smaller than,100000,8367
smaller than,100000,8319
smaller than,100000,8370
smaller than,100000,8356
smaller than,100000,8378
smaller than,100000,8366
greater than,100000,15878
greater than,100000,20381
greater than,100000,21000
greater than,100000,21027
greater than,100000,13480
greater than,100000,8639
greater than,100000,8434
greater than,100000,8652
greater than,100000,8451
greater than,100000,8594
equals,100000,20050
equals,100000,20379
equals,100000,20803
equals,100000,10405
equals,100000,8242
equals,100000,8210
equals,100000,8252
equals,100000,8159
equals,100000,8210
equals,100000,8179
not equals,100000,22819
not equals,100000,21798
not equals,100000,15726
not equals,100000,8124
not equals,100000,8108
not equals,100000,8364
not equals,100000,8061
not equals,100000,8370
not equals,100000,8109
not equals,100000,8315
isPrime,100000,21793
isPrime,100000,21843
isPrime,100000,22155
isPrime,100000,22133
isPrime,100000,22318
isPrime,100000,22302
isPrime,100000,22423
isPrime,100000,22421
isPrime,100000,22559
isPrime,100000,22345
sin,100000,55176
sin,100000,22994
sin,100000,19415
sin,100000,19512
sin,100000,19567
sin,100000,19611
sin,100000,20053
sin,100000,20015
sin,100000,20103
sin,100000,20164
tan,100000,41389
tan,100000,44543
tan,100000,19749
tan,100000,19645
tan,100000,19668
tan,100000,19805
tan,100000,19534
tan,100000,19597
tan,100000,19701
tan,100000,20362
rand,100000,67786
rand,100000,65984
rand,100000,65800
rand,100000,65973
rand,100000,67670
rand,100000,77507
rand,100000,66207
rand,100000,66138
rand,100000,66213
rand,100000,65825
fib,100000,50622
fib,100000,48824
fib,100000,48810
fib,100000,101539
fib,100000,48574
fib,100000,48392
fib,100000,48415
fib,100000,48286
fib,100000,48266
fib,100000,48498
pow,100000,30124
pow,100000,30142
pow,100000,30277
pow,100000,33224
pow,100000,29985
pow,100000,30222
pow,100000,30203
pow,100000,30258
pow,100000,30851
pow,100000,31012
len,100000,55166
len,100000,21934
len,100000,19912
len,100000,20496
len,100000,20318
len,100000,20486
len,100000,20459
len,100000,20343
len,100000,20476
len,100000,38398
sqrt,100000,21573
sqrt,100000,47562
sqrt,100000,35798
sqrt,100000,17281
sqrt,100000,17115
sqrt,100000,16982
sqrt,100000,17109
sqrt,100000,17013
sqrt,100000,17127
sqrt,100000,17123
concat,100000,20279
concat,100000,21792
concat,100000,45935
concat,100000,19815
concat,100000,20252
concat,100000,22330
concat,100000,27910
concat,100000,20030
concat,100000,19963
concat,100000,19956
addition,100000,9562
addition,100000,9586
