addition,100000,43
substraction,100000,42
division,100000,42
multiplication,100000,42
addition,100000,42
substraction,100000,42
division,100000,42
multiplication,100000,42
addition,100000,42
substraction,100000,42
division,100000,42
multiplication,100000,42
addition,100000,42
substraction,100000,42
division,100000,42
multiplication,100000,42
addition,100000,42
substraction,100000,42
division,100000,42
multiplication,100000,42
addition,100000,42
substraction,100000,42
division,100000,42
multiplication,100000,42
addition,100000,42
substraction,100000,42
division,100000,42
multiplication,100000,42
addition,100000,42
substraction,100000,42
division,100000,42
multiplication,100000,42
addition,100000,42
substraction,100000,42
division,100000,42
multiplication,100000,42
addition,100000,42
substraction,100000,55
division,100000,42
multiplication,100000,42
addition,100000,42
substraction,100000,42
division,100000,42
multiplication,100000,42
addition,100000,42
substraction,100000,42
division,100000,42
multiplication,100000,42
addition,100000,42
substraction,100000,42
division,100000,42
multiplication,100000,42
addition,100000,42
substraction,100000,42
division,100000,42
multiplication,100000,42
addition,100000,42
substraction,100000,42
division,100000,42
multiplication,100000,42
addition,100000,42
substraction,100000,42
division,100000,42
multiplication,100000,42
addition,100000,42
substraction,100000,42
division,100000,42
multiplication,100000,42
addition,100000,42
substraction,100000,42
division,100000,42
multiplication,100000,42
addition,100000,42
substraction,100000,42
division,100000,42
multiplication,100000,42
addition,100000,42
substraction,100000,42
division,100000,42
multiplication,100000,42
