operation,amount,time,weights,simple_score,advanced_score,simple_score_per_ms,advanced_score_per_ms
addition,2000000.0,1252237.32,1.0203,2000000.0,2040600.0,1.5971413469772646,1.6295633163209031
concat,2000000.0,1551255.58,1.255,2000000.0,2510000.0,1.2892781987607742,1.6180441394447715
division,2000000.0,1256191.03,1.028,2000000.0,2056000.0,1.5921145369108392,1.6366937439443425
equals,2000000.0,1227457.92,1.0,2000000.0,2000000.0,1.629383759241213,1.629383759241213
fib,2000000.0,2169523.92,1.7679,2000000.0,3535800.0,0.9218612348832734,1.629758477150139
greater than,2000000.0,1243718.62,1.0052,2000000.0,2010400.0000000002,1.6080807731253552,1.6164427931456071
isPrime,2000000.0,1574096.09,1.2796,2000000.0,2559200.0,1.2705704643482088,1.625821966179968
len,2000000.0,1541327.61,1.2538,2000000.0,2507600.0,1.2975826729010582,1.6269091552833468
multiplication,2000000.0,1250581.23,1.018,2000000.0,2036000.0,1.5992563713754124,1.6280429860601697
not equals,2000000.0,1238933.11,1.0059,2000000.0,2011800.0,1.6142921549654927,1.623816478679789
pow,2000000.0,1786618.98,1.4479,2000000.0,2895800.0,1.1194328630719013,1.620826842441806
rand,2000000.0,2695962.13,2.1992,2000000.0,4398400.0,0.7418501831848803,1.6314769228601889
sin,2000000.0,1544076.03,1.258,2000000.0,2516000.0,1.2952730054361377,1.6294534408386612
smaller than,2000000.0,1232774.19,1.01,2000000.0,2020000.0,1.6223571325742958,1.6385807039000386
sqrt,2000000.0,1503463.45,1.2282,2000000.0,2456400.0,1.3302618031718696,1.6338275466556902
substraction,2000000.0,1252452.03,1.0174,2000000.0,2034800.0000000002,1.596867546296364,1.624653041601921
tan,2000000.0,1545741.39,1.2627,2000000.0,2525400.0,1.293877496545525,1.6337791148880345
