operation,amount,time,weights
addition,10000000.0,538978.0,1.1824
concat,10000000.0,902660.0,1.9803
division,10000000.0,552069.5,1.2111
equals,10000000.0,463530.0,1.0169
fib,10000000.0,2187186.0,4.7983
greater than,10000000.0,515916.5,1.1318
isPrime,10000000.0,1073674.5,2.3555
len,10000000.0,862348.5,1.8918
multiplication,10000000.0,538172.0,1.1807
not equals,10000000.0,455823.5,1.0
pow,10000000.0,1569785.0,3.4438
rand,10000000.0,3861601.5,8.4717
sin,10000000.0,927891.0,2.0356
smaller than,10000000.0,509359.0,1.1174
sqrt,10000000.0,744110.0,1.6325
substraction,10000000.0,546186.0,1.1982
tan,10000000.0,907334.5,1.9905
